epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
1,0.8080395267248154,72.25,0.32926798162460325,89.82,15.587314128875732
2,0.22101758355696996,93.16,0.15809844884872437,95.11,15.535908699035645
3,0.18706415090560913,94.18166666666666,0.17814594881236553,94.5,15.556877136230469
4,0.14565259504119554,95.43,0.16875539368391038,94.86,15.532886028289795
5,0.1090590048511823,96.61999999999999,0.10788262068033218,96.57,15.529689073562622
6,0.0938024136543274,97.08,0.090284428884089,97.21,15.563982963562012
7,0.08111443262795608,97.40833333333333,0.08332935554087162,97.43,15.546354055404663
8,0.07165159171422322,97.71,0.09369773402065039,97.28,15.574840784072876
9,0.06965207089781761,97.73666666666668,0.08941229552328586,97.06,15.565016031265259
10,0.07726243508855501,97.50833333333333,0.07833769324421883,97.61,15.55540132522583
11,0.06439180133342742,97.90333333333334,0.06707889233976602,97.89999999999999,15.566067934036255
12,0.08013821196059386,97.43166666666667,0.08695324232280255,97.27,15.550935983657837
13,0.06815310455759366,97.89333333333333,0.08709965045154094,97.22,15.572358131408691
14,0.06083751375675201,98.08333333333333,0.0710206262845546,97.77,15.548959970474243
15,0.049711270215113956,98.42999999999999,0.05823850983940065,98.21,15.595978021621704
16,0.0463297868664066,98.45833333333334,0.06927022797521204,97.99,15.6893150806427
17,0.040508274841805296,98.65833333333333,0.06458763929829002,97.82,15.590489149093628
18,0.04018618246018887,98.7,0.04909826154448092,98.44000000000001,15.609493970870972
19,0.0352834891791145,98.80666666666667,0.05155518707167357,98.34,15.584715127944946
20,0.0329257215966781,98.94166666666668,0.059055936648137866,98.3,15.598773956298828
21,0.029383178120354812,99.00166666666667,0.054038038026541474,98.28,15.642863988876343
22,0.030857318082948525,98.95833333333334,0.06116652338504791,98.09,15.657356977462769
23,0.028667598675812284,99.00666666666666,0.053356141235586255,98.45,15.565587997436523
24,0.026717827636003496,99.13333333333333,0.05995450419820845,98.15,15.569157123565674
25,0.025770075230052075,99.15666666666667,0.05098611107468605,98.50999999999999,15.615558862686157
26,0.027241550418237843,99.13499999999999,0.05053349249204621,98.37,15.58830189704895
27,0.02277797693088651,99.16833333333334,0.05088793745655566,98.58,15.554625034332275
28,0.020583992635831237,99.29833333333333,0.060456589378695934,98.21,15.647106170654297
29,0.022946903049821655,99.2,0.05317305330298841,98.29,15.596914768218994
30,0.021075678705920777,99.30499999999999,0.05319639282207936,98.39,15.58821415901184
31,0.019580937767028808,99.33,0.051052636192180215,98.5,15.565234184265137
32,0.018516553143349785,99.38666666666667,0.052192301862267775,98.48,15.641568899154663
33,0.01601321538432191,99.425,0.05509201598651707,98.52,15.636651992797852
34,0.020218462905225654,99.29,0.0523028627120424,98.47,15.59676480293274
35,0.01805420044567436,99.41666666666666,0.053153561425209044,98.41,15.607362031936646
36,0.01634181037141631,99.46000000000001,0.052444541343860326,98.66,15.612004041671753
37,0.015224618869647384,99.46166666666667,0.05526830265559256,98.53,15.606801986694336
38,0.015932798963660996,99.42333333333333,0.05679455424998887,98.44000000000001,15.646061897277832
39,0.01418277996648103,99.48833333333333,0.05963028096407652,98.50999999999999,15.63507890701294
40,0.014656715570017695,99.495,0.052861775801377374,98.53,15.64431881904602
41,0.014768296692861865,99.50166666666667,0.04514996950663626,98.77,15.594144821166992
42,0.013123756610850494,99.53666666666666,0.049231568014342336,98.7,15.666229009628296
43,0.01217352431025356,99.61166666666666,0.054263472392922264,98.59,15.619389057159424
44,0.014161079945849876,99.52666666666666,0.05222908421531319,98.65,15.617490768432617
45,0.015063167629173646,99.47833333333334,0.051463617929490287,98.63,15.633270025253296
46,0.01197532508764416,99.59,0.05596506590694189,98.44000000000001,15.61813497543335
47,0.011515731531009078,99.605,0.05568963390850113,98.61,15.623762130737305
48,0.013088666800083592,99.57333333333334,0.04842597765142564,98.66,15.6787850856781
49,0.0097140240385818,99.68333333333334,0.054445497482499924,98.69,15.667220115661621
50,0.012979243036080152,99.57833333333333,0.05094958167012664,98.69,15.617454051971436
