epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
1,1.7019379284667968,36.982,1.468657612991333,46.53,36.33486752919749
2,1.354450278778076,50.788,1.311833753585815,52.99,34.06942054687077
3,1.208166832275391,56.2,1.2235560396194458,56.010000000000005,36.7680872352933
4,1.1245127852630614,59.25,1.112737759113312,59.91,35.2734039257921
5,1.0456387216567993,62.358,1.0553797986984252,62.029999999999994,35.003121657577225
6,0.9899309796524048,64.63799999999999,1.0066886749267578,64.07000000000001,33.82183084002467
7,0.9437209580993652,66.308,0.9892395042419434,64.75,34.43361610185975
8,0.8956627616691589,67.866,0.9486304800033568,66.27,35.14952468818034
9,0.8666554545021057,69.0,0.9372778261184692,66.75999999999999,34.32821419855367
10,0.829055437335968,70.69,0.9082498573303224,67.34,35.94633675371722
11,0.8044565675544739,71.328,0.91557475938797,67.9,35.34028624985371
12,0.7703530887985229,72.442,0.905576600074768,67.64,33.783299590414906
13,0.7410793251609802,73.42,0.8637908454895019,69.36,33.896403607533514
14,0.7205771328735352,74.24199999999999,0.833482426071167,70.78,35.63173486940979
15,0.7004348967933655,74.932,0.8782533931732178,69.35,34.54821442263485
16,0.6774401901626587,75.678,0.8462274269104004,70.55,35.04325547986996
17,0.6527857076454162,76.37,0.8224418302536011,71.27,34.213119790081734
18,0.6323788366317749,77.45,0.8303682907104493,71.57,36.41544131567788
19,0.6213151844215393,77.806,0.8363869866371155,71.15,35.40973122842145
20,0.5987945257377625,78.53,0.8173503866195678,71.77,34.62097499665133
21,0.5857230711555481,79.06,0.8318956840515137,71.69,34.73687535767474
22,0.5675103092193603,79.60000000000001,0.8178980124473572,71.97,35.60815025784206
23,0.5532355696105957,80.196,0.8153621821403504,72.39999999999999,34.78652461794374
24,0.534109004650116,81.086,0.8242634434700012,72.43,34.43729919073176
25,0.5181540393066406,81.372,0.8393381306648254,72.5,34.55955128612482
26,0.5060573885726929,81.842,0.8480043622016906,72.09,34.25763068004972
27,0.4919055085086822,82.478,0.8392299023628235,72.28,35.65691488436476
28,0.4750060978603363,82.928,0.8602409670829773,72.54,35.15635359157072
29,0.469823740196228,83.22800000000001,0.8395430326461792,72.43,34.42223927314014
30,0.4487648680305481,83.80199999999999,0.8332051136016846,73.06,35.37451086620426
31,0.4428440362548828,84.194,0.8853459592819214,71.53,34.22213696278535
32,0.4263424445915222,84.64,0.9028323579788208,71.94,32.88434295177544
33,0.4209369271278381,84.776,0.8774047246932983,72.81,35.66687288838774
34,0.4039382441806793,85.544,0.8732372726440429,72.11,36.10919355118307
35,0.3956430804157257,85.616,0.9002911176681518,72.92,33.435940879877876
36,0.3855251377105713,86.194,0.9127041707992554,73.00999999999999,34.467762811431676
37,0.3773872362709045,86.368,0.8843727041244507,73.14,36.13423565020025
38,0.3657453773880005,86.818,0.9027699237823488,72.19,33.64600123689145
39,0.3540495068740845,87.202,0.9537361343383788,71.92,35.122101496250345
40,0.347837437467575,87.434,0.9586780214309693,72.02,35.58181114153781
41,0.3383865540981293,87.70400000000001,0.9511797897338868,72.6,34.20764289793543
42,0.3356939070987701,87.822,0.9487143238067628,72.49,34.955233196563775
43,0.3244214843177795,88.344,0.951993162059784,72.54,32.3846835405413
44,0.3155278554821014,88.454,0.9780383079528808,71.8,34.77349726409644
45,0.3047320041084289,89.18599999999999,0.964248865032196,72.47,33.94899491503242
46,0.3065776660299301,88.792,0.9754577486038208,72.74000000000001,34.01939075902295
47,0.2962542998313904,89.374,0.9910845819473266,72.3,34.0815107023062
48,0.2861242591762543,89.556,0.9884631146430968,72.34,36.5613020763945
49,0.2786587828826904,89.944,1.0138938652038574,72.56,37.756965194044994
50,0.278166388015747,89.94,1.01250989112854,72.28,34.74349222029477
