epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
1,1.6867398589324951,37.19,1.4562295444488524,46.29,30.720658779144287
2,1.3642626512908935,50.28,1.2945828182220458,53.010000000000005,29.267575979232788
3,1.2167352844238282,55.724,1.225605870437622,55.42,29.4418728351593
4,1.1284446123123169,59.434,1.1527814262390137,58.53,29.448270082473755
5,1.0561998037338256,61.99,1.0888031593322753,60.47,29.495301961898804
6,1.001836806716919,64.18199999999999,1.0365448331832885,63.129999999999995,29.284698963165283
7,0.9547206249618531,65.79,1.0142201316833497,63.800000000000004,29.40709900856018
8,0.9190745495605469,67.14,0.9681912281990052,65.18,29.380870819091797
9,0.8785005797576905,68.886,0.9639280099868774,66.36,29.184072971343994
10,0.8456098187637329,69.976,0.9240782248497009,67.14,29.279356956481934
11,0.8145488613128662,70.85000000000001,0.8893969883918762,68.31,29.312258005142212
12,0.7883563971138,71.89,0.8899977504730224,68.86,29.468637943267822
13,0.7662749517631531,72.822,0.8755126994132996,68.95,29.33223295211792
14,0.738005599193573,73.648,0.8557052855491638,70.14,29.6014621257782
15,0.7231479983139039,74.268,0.846758791923523,69.65,29.74478006362915
16,0.6915946630287171,75.504,0.8336738402366638,70.55,29.320178031921387
17,0.6813355773925781,75.76,0.8589702260971069,70.11,29.756259202957153
18,0.657285230922699,76.452,0.8128177268981933,71.87,29.53687310218811
19,0.636817266330719,77.042,0.8110278113365174,71.65,29.67153787612915
20,0.6271049036979676,77.622,0.8447785040855408,71.33,29.544193983078003
21,0.6079329117202759,78.208,0.8290147216796875,71.39999999999999,29.49315309524536
22,0.5888833415412903,79.062,0.812028945016861,72.15,29.785956859588623
23,0.5735947875976563,79.52,0.8333244928359985,71.3,29.477006196975708
24,0.5610721283721923,79.94200000000001,0.8263110321998596,71.6,29.634055137634277
25,0.5402966199111938,80.67,0.8304911352157592,71.91,29.701061010360718
26,0.5314118338775635,80.84400000000001,0.8266266641616822,72.37,29.787147045135498
27,0.5180771480941773,81.622,0.8504530763626099,71.7,29.592620134353638
28,0.5003298998832703,82.14,0.8103147711753845,72.75,29.521883249282837
29,0.48795937880516055,82.504,0.8351670600891113,72.44,29.78856086730957
30,0.4777976564979553,82.76400000000001,0.8190709615707398,72.92,29.84626793861389
31,0.4599713069152832,83.43199999999999,0.8299296127319336,72.72,29.477609872817993
32,0.4539403229904175,83.74000000000001,0.8258471404075622,73.58,29.70401883125305
33,0.440698259267807,84.108,0.8318292865753174,73.08,30.382240056991577
34,0.4295361335945129,84.61,0.8574031751155853,72.54,29.436421155929565
35,0.4158385784244537,84.982,0.8585592560768127,72.75,29.539883136749268
36,0.4108371715927124,85.234,0.864225804901123,73.18,29.577686071395874
37,0.3954703892040253,85.72800000000001,0.8772835512161254,73.03,29.58206295967102
38,0.3913141553020477,85.85000000000001,0.8671566347122193,73.11,29.49022674560547
39,0.38124327768325805,86.19,0.8841001019477844,73.39,29.6333110332489
40,0.3712339080905914,86.536,0.8873286541938782,72.84,29.686283111572266
41,0.36431770031929017,86.86,0.8913781189918518,73.25,29.760301113128662
42,0.353292276058197,87.316,0.8948201774597168,73.33,29.556026935577393
43,0.3446632487010956,87.47399999999999,0.9130895884513855,73.00999999999999,29.575374126434326
44,0.3359859381961823,87.768,0.8832069002151489,73.68,29.621148824691772
45,0.32727654138565065,88.14800000000001,0.9574454370498657,72.97,29.63750410079956
46,0.3205626531505585,88.426,0.9099486888885499,74.2,29.529887914657593
47,0.3093818194103241,88.78,0.9718982696533203,72.59,29.812172651290894
48,0.30540758402824403,89.034,0.9644032312393188,72.23,29.753840923309326
49,0.29563228753089904,89.4,1.013907103061676,72.53,29.71761703491211
50,0.3012123909473419,89.012,1.0227617698669433,72.28999999999999,29.791956901550293
