epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
1,1.7080982104492188,36.431999999999995,1.4629281555175782,46.28,30.94141697883606
2,1.3561077117919922,50.36000000000001,1.2656233699798585,54.2,30.158360719680786
3,1.1890916428375244,57.006,1.188540881729126,56.910000000000004,30.998783826828003
4,1.0895502352142334,60.854,1.0822951831817627,60.79,30.284622192382812
5,1.017391091117859,63.528,1.0377856109619141,62.63999999999999,30.88879108428955
6,0.9553468258857727,65.728,0.9816725652694702,64.66,30.114251136779785
7,0.9050742474746704,67.554,0.9600283081054688,65.33,30.199988842010498
8,0.8643551098632812,68.972,0.9483579648971557,66.02,30.331049919128418
9,0.8269850715446472,70.464,0.9119812860488892,67.41,30.69621229171753
10,0.8001546197891235,71.38600000000001,0.8782139877319336,68.95,30.651774168014526
11,0.765239972114563,72.624,0.8538535885810852,70.07,30.135563135147095
12,0.7376254731559754,73.644,0.8577822328567505,69.91000000000001,30.095479011535645
13,0.713790344696045,74.578,0.8527341560363769,70.07,30.814666748046875
14,0.6906738891220093,75.366,0.8180188282012939,71.83,30.607003927230835
15,0.6756811624336243,75.876,0.806509984588623,71.97,30.247346878051758
16,0.6459070649337768,76.908,0.8052225364685058,71.67999999999999,30.215939044952393
17,0.6296003928184509,77.47,0.7998554735183716,72.47,30.113280057907104
18,0.6135398127365113,78.176,0.8226323215484619,71.81,30.176618814468384
19,0.5900957243156433,78.994,0.8212291375160218,71.96000000000001,30.15400195121765
20,0.5726301226997376,79.474,0.7887108543395996,73.39,30.044708013534546
21,0.5608728657913208,80.02,0.8249729797363281,72.08,30.12178111076355
22,0.5507804124450684,80.25999999999999,0.7897814970970154,73.63,30.25202775001526
23,0.5274205356693268,80.974,0.7986047766685486,72.92,30.118391752243042
24,0.5146145217323304,81.478,0.7951012310028076,73.75,30.343542098999023
25,0.5004842648696899,81.918,0.831038345336914,72.41,30.17544388771057
26,0.4894428309059143,82.478,0.8180333301544189,73.16,30.216861963272095
27,0.4752088144397736,83.052,0.8154618947982788,73.11,30.242639780044556
28,0.45900629770278933,83.43,0.849782251739502,72.86,30.1202130317688
29,0.45144651297569277,83.826,0.8227657529830933,72.87,30.080858945846558
30,0.43597717855453494,84.47,0.8242558466911316,73.69,30.116945266723633
31,0.4234410573387146,84.83000000000001,0.817798233795166,73.87,30.176668167114258
32,0.413823550863266,85.142,0.8507062126159668,73.82,30.163843154907227
33,0.408981787147522,85.264,0.8536898007392884,73.4,30.106319189071655
34,0.39550007678031923,85.732,0.8667683300971984,73.56,30.129326105117798
35,0.3863799568748474,86.168,0.8607747339248657,73.88,30.13006901741028
36,0.3801814804077148,86.24199999999999,0.8302208178520203,74.63,30.164560079574585
37,0.36789243061065674,86.756,0.8416659751892089,74.72,30.167526960372925
38,0.35787597352981565,87.198,0.8608171726226806,73.81,30.17438292503357
39,0.35094677320480344,87.074,0.8814564767837525,73.92999999999999,30.252131938934326
40,0.33947560941696164,87.75800000000001,0.8939070390701294,74.05000000000001,30.097332000732422
41,0.3401060557079315,87.67200000000001,0.8862921484947205,73.8,30.14262104034424
42,0.32776311874389646,88.106,0.9253138418197632,73.4,30.088172912597656
43,0.320533750705719,88.3,0.9073654555320739,73.91,30.057838916778564
44,0.30925647941589357,88.898,0.942633563041687,73.83,30.58296275138855
45,0.30207554018974303,89.14999999999999,0.916871457195282,73.45,30.128033876419067
46,0.30228989174842835,89.01599999999999,0.9240683141708375,73.66,30.0645489692688
47,0.2906226027679443,89.484,0.9546213996887207,73.28,30.292737245559692
48,0.2821217090702057,89.884,0.9268982617378235,74.13,30.205223083496094
49,0.27248259430885313,90.16199999999999,0.9681474964141845,73.19,30.58297896385193
50,0.27518066661834717,90.048,1.000714486694336,73.33,30.612248182296753
