epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
1,1.672190053024292,37.804,1.438873084640503,46.86,34.20711708068848
2,1.33898392578125,51.292,1.2555758289337158,54.32,33.731114864349365
3,1.239680944442749,55.12200000000001,1.3201802642822265,52.44,33.45668983459473
4,1.1888911826324462,57.188,1.1893314388275147,56.589999999999996,33.51714301109314
5,1.1844492751693725,57.02,1.2283590255737304,54.790000000000006,33.6436071395874
6,1.1733984663391113,57.32000000000001,1.1446051944732667,57.74,34.50423288345337
7,1.1192960257720947,59.498,1.1325564640045167,58.69,34.11453294754028
8,1.0656627324676513,61.49,1.0991106430053712,59.650000000000006,33.8666832447052
9,1.0401683409118652,62.474,1.0483121772766113,62.339999999999996,33.69226384162903
10,1.0212200745010376,63.058,1.0422972852706909,62.839999999999996,33.02009201049805
11,0.9927665412521363,64.50200000000001,1.038000566291809,63.190000000000005,33.47767877578735
12,0.9762844822883606,64.73400000000001,1.0047518093109131,63.519999999999996,33.73518896102905
13,0.9499966120529175,65.61200000000001,0.9941739353179931,64.44,33.09663796424866
14,0.912741041431427,67.116,0.9631205704689025,65.88000000000001,40.212228775024414
15,0.888520413684845,68.158,0.9147280181884766,67.44,34.7385151386261
16,0.8618245767593384,68.96600000000001,0.9554051485061645,65.75999999999999,34.781009912490845
17,0.8362835677719116,69.896,0.9052563417434693,68.4,33.25784397125244
18,0.8060093810653687,71.222,0.871005732536316,69.28,35.588582038879395
19,0.7850283616447449,71.806,0.8647743459701538,69.26,35.77956199645996
20,0.7645783039855957,72.592,0.9052061532974243,68.66,38.211005210876465
21,0.7515412919807434,73.38,0.8526687238693237,69.98,35.34709286689758
22,0.7291342959213257,73.952,0.8493250182151795,70.65,38.30117702484131
23,0.7121361499404907,74.714,0.8381627716064454,70.92,36.69275426864624
24,0.6956715988731385,75.36,0.8736579250335693,69.69999999999999,33.45586395263672
25,0.6772381218338013,75.628,0.8396159196853638,70.19999999999999,33.128742933273315
26,0.6654552410316468,76.2,0.8247702998161316,71.94,35.31138014793396
27,0.6489684938049316,76.712,0.8087075609207154,71.96000000000001,35.10859394073486
28,0.6380390495300293,77.152,0.8137138414382935,72.02,35.94967603683472
29,0.638573052406311,77.19200000000001,0.8517148029327393,70.82000000000001,36.76185607910156
30,0.6144613977432251,77.878,0.8053153590202331,72.83,34.38912296295166
31,0.5981714232444764,78.56,0.8198343021392822,72.03,33.82914900779724
32,0.5828993719673157,79.01599999999999,0.7912074684143067,73.11,34.112338066101074
33,0.5693118633460998,79.63,0.8821633344650268,70.43,35.40973210334778
34,0.5648198274421692,79.744,0.8423794363975525,71.98,35.21762490272522
35,0.5522963404941559,80.274,0.8251790061950683,72.16,34.5500431060791
36,0.5437954403495788,80.31,0.8056005056381226,73.04,33.772910833358765
37,0.5286640925979614,81.006,0.8059334869384766,73.55000000000001,33.45318293571472
38,0.5197418639945984,81.492,0.7803526758193969,73.83999999999999,33.71767807006836
39,0.5097985619163513,81.726,0.816326046037674,72.78999999999999,33.5635712146759
40,0.5032149257850647,81.808,0.8017628086090088,73.78,33.47024416923523
41,0.4884511882781982,82.43,0.8342711487293243,72.68,33.66501593589783
42,0.48917565519332884,82.548,0.8330652003288269,73.16,33.763325929641724
43,0.4808920809364319,82.588,0.8159572580337524,73.83,33.894312143325806
44,0.4713233395957947,83.00999999999999,0.8146678258895874,73.48,33.86624598503113
45,0.4657570142555237,83.328,0.8214144008159637,73.76,33.803762912750244
46,0.4579058127975464,83.50800000000001,0.8564508699417114,72.63,33.553271770477295
47,0.45582487979888914,83.482,0.8767478209972381,71.89,33.654295682907104
48,0.46292784329414366,83.25399999999999,0.8560407026290894,72.38,33.66426086425781
49,0.4512202455711365,83.73,0.839409954547882,73.31,33.93533420562744
50,0.4456825603103638,83.94200000000001,0.8817213657855988,71.74000000000001,33.28753924369812
