epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
1,1.694119577331543,36.97,1.4588995948791503,46.32,34.688557147979736
2,1.355442569885254,50.885999999999996,1.2668354612350463,54.22,31.872754096984863
3,1.1988629524230956,56.662,1.1585222240447999,57.89,32.01873207092285
4,1.0994190924453735,60.158,1.083165574645996,60.419999999999995,32.08405089378357
5,1.0222224036026002,63.217999999999996,1.07861834564209,60.77,32.20674419403076
6,0.9642069735527039,65.286,0.9769830823898316,65.23,32.1470091342926
7,0.911185135307312,67.328,0.9639427656173706,65.56,32.06134605407715
8,0.8656046398925781,69.1,0.922638331413269,66.74,32.11162209510803
9,0.826556231098175,70.616,0.8865980658531188,68.67999999999999,32.11180782318115
10,0.7936110014343262,71.798,0.8651201606750488,69.59,32.02373194694519
11,0.762356343460083,72.68599999999999,0.875890765094757,69.38,31.922600984573364
12,0.735451040802002,73.866,0.8608203207969666,69.66,32.71774983406067
13,0.7134144954299927,74.606,0.8387021214485169,70.58,32.07853579521179
14,0.6845859210777283,75.436,0.8187618865013122,71.88,32.2361421585083
15,0.669130245513916,76.03999999999999,0.7947022058486939,72.46000000000001,31.94939398765564
16,0.6447194435310364,77.012,0.8117368705749511,71.77,32.00749921798706
17,0.6258534867095947,77.546,0.8210711145401001,72.39,32.371297121047974
18,0.605687535648346,78.36999999999999,0.8021504477500916,72.46000000000001,32.228882789611816
19,0.5886806583786011,78.972,0.797204966545105,72.22,32.04262590408325
20,0.5709641331291199,79.632,0.7885049932479858,72.78999999999999,31.995446920394897
21,0.5576443859100342,79.928,0.7902117162704467,73.02,32.302282094955444
22,0.5360080568122864,80.864,0.7824451197624207,73.59,32.189671993255615
23,0.527452531118393,81.21199999999999,0.7869062504768372,73.69,32.118492126464844
24,0.5071299483394622,81.846,0.8071398605823517,73.36,31.963685274124146
25,0.49701591484069824,82.228,0.8060854173660278,73.2,32.427002906799316
26,0.48542787591934206,82.568,0.7794816972732544,74.02,32.05887579917908
27,0.46816262802124026,83.306,0.786027615070343,74.41,32.0840539932251
28,0.453077752904892,83.596,0.7988723781585694,74.22,31.97443199157715
29,0.4399658867073059,84.272,0.7858045934677124,74.33,32.007611989974976
30,0.4260417972946167,84.646,0.8050134247779847,74.33,32.0425660610199
31,0.4161517403507233,84.94,0.7927668209075928,74.11,32.14048194885254
32,0.4048792793750763,85.506,0.8180824419021606,74.46000000000001,32.006507873535156
33,0.3947597544288635,85.63,0.8250368700027466,74.31,32.18146204948425
34,0.3876775505924225,85.98400000000001,0.8284259896278381,74.57000000000001,32.17413592338562
35,0.373624986038208,86.592,0.8340267995834351,74.33999999999999,32.14663481712341
36,0.36612698638916014,86.824,0.8101523862838745,74.22999999999999,32.13723802566528
37,0.3558901463413239,87.31400000000001,0.8584553024291992,74.61,31.959314107894897
38,0.34689049710273745,87.47399999999999,0.8408504203796386,75.08,32.33955097198486
39,0.33602526361465457,87.732,0.8623195690155029,74.16,32.020036935806274
40,0.3265433925437927,88.196,0.8716414867401123,74.26,32.229450941085815
41,0.3190892511177063,88.436,0.8684849695205689,73.99,31.9685001373291
42,0.31910940948486327,88.562,0.9155363090515136,73.77,32.38155221939087
43,0.3025864600276947,88.992,0.8971007969856262,74.0,32.19369292259216
44,0.2928234676361084,89.452,0.8922068849563599,74.32,32.15046572685242
45,0.29062258965015414,89.47,0.9179450163841247,74.33,31.97663116455078
46,0.28205201011657716,89.744,0.9225885503768921,74.44,31.914175987243652
47,0.2762577564239502,90.02,0.924457276725769,74.11,32.12692213058472
48,0.27054785880088805,90.224,0.9765360050201416,73.79,32.20138096809387
49,0.26227364381790164,90.524,0.9446217365264893,73.83,32.02573323249817
50,0.2595181360626221,90.724,0.9372654005050659,74.27,32.04127812385559
