epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
1,1.6842487479400634,37.53,1.4362105045318603,47.74,27.776506900787354
2,1.3510603440856934,51.052,1.273432521057129,53.76,27.743260860443115
3,1.2050668912506104,56.362,1.1636615993499755,57.4,27.50570011138916
4,1.1137505904769898,59.876,1.1271966592788696,59.29,27.597872018814087
5,1.0479356145858765,62.438,1.0776821670532226,60.68,28.049413919448853
6,0.9819046823501587,64.874,1.0195815546035767,63.690000000000005,28.365092039108276
7,0.9323319583511352,66.668,0.9898997482299805,63.68000000000001,27.448879957199097
8,0.8906207555961609,68.21199999999999,0.9396945768356323,66.14999999999999,27.40347194671631
9,0.8419216547966003,70.044,0.9240023670196533,66.96,27.640619039535522
10,0.8100189642333985,71.224,0.8883695725440979,68.82000000000001,27.851354122161865
11,0.775610744934082,72.504,0.8811347984313965,69.08999999999999,27.32074999809265
12,0.7450974424552917,73.546,0.8651254769325256,69.46,27.395448923110962
13,0.7240657786941528,74.164,0.8368678689002991,70.46,27.344151258468628
14,0.6949475452041626,75.286,0.8572506713867187,70.82000000000001,27.378971815109253
15,0.6804791503524781,75.786,0.8352238166809082,71.57,27.305557012557983
16,0.6525511066246032,76.756,0.8099229707717895,72.19,27.872707843780518
17,0.6373649267005921,77.254,0.8349730471134186,71.48,27.817940950393677
18,0.6140077336883545,78.29,0.8251540605545044,71.88,27.856394052505493
19,0.5922526900100707,79.084,0.8393085078716278,71.52,27.364143133163452
20,0.5797732593727112,79.22,0.7994207449913024,72.32,27.441437005996704
21,0.554883277721405,80.17999999999999,0.8099289769172668,72.85000000000001,27.366050958633423
22,0.5422431440925598,80.618,0.7963050209999084,73.13,27.878867864608765
23,0.5322703620147705,80.96600000000001,0.8013834418296814,73.2,27.857908964157104
24,0.5132193801021576,81.684,0.799781277179718,73.50999999999999,27.622485160827637
25,0.5006846012687683,82.164,0.8540369871139526,71.88,27.557793855667114
26,0.4840165537071228,82.704,0.832042908668518,72.92999999999999,27.784175157546997
27,0.4763362383937836,83.084,0.8165806572914124,73.76,27.614409923553467
28,0.4603699706840515,83.48400000000001,0.8360685904502869,73.03,27.328882932662964
29,0.4447208355522156,84.174,0.8428498805999756,73.13,27.45761275291443
30,0.4316841842651367,84.42399999999999,0.8103073623657226,73.72999999999999,27.23950171470642
31,0.418071598072052,84.914,0.8363389142990112,73.11,27.32266092300415
32,0.407443237285614,85.462,0.842438447189331,73.68,27.945358991622925
33,0.39934317752838133,85.544,0.8651033832073212,73.2,28.25019383430481
34,0.38588399498939513,86.06200000000001,0.8609697204589843,73.54,27.29889988899231
35,0.3785245792675018,86.46000000000001,0.8618386417865753,73.69,27.822138786315918
36,0.368436925945282,86.612,0.8537500361442566,73.42999999999999,27.321268320083618
37,0.3542242090320587,87.244,0.8848032182693482,73.6,27.287313222885132
38,0.3468589340209961,87.432,0.9184244086265564,73.19,27.35491919517517
39,0.34050725749969485,87.532,0.8982403206348419,73.33,27.383666276931763
40,0.3281144175338745,88.27000000000001,0.9103898705005645,73.87,27.198121070861816
41,0.322723878660202,88.33,0.9057992177486419,73.16,27.276435136795044
42,0.31965921124458313,88.436,0.9358084699630738,73.74000000000001,27.291022777557373
43,0.309665430393219,88.812,0.9395231372833251,72.92999999999999,28.298166036605835
44,0.29576738985061646,89.3,0.9428085600852967,73.52,27.24088406562805
45,0.2944791270828247,89.268,0.9808121778488159,73.68,27.51499605178833
46,0.2830728165245056,89.63,0.979484464263916,72.86,27.606140851974487
47,0.27553753856658936,89.92,0.9706455575704575,73.37,27.310975074768066
48,0.2705450256919861,89.972,1.0097150568246842,73.29,27.23551893234253
49,0.2699012212944031,90.316,1.005408387851715,72.78,27.218851804733276
50,0.2652392840003967,90.326,1.0203600638866424,73.67,27.31855583190918
